customer_id,full_name,age,gender,email,city,created_at,loyalty_tier,purchase_count,total_spent,order_goal
1,Mindy Wright,58,Female,mindy.wright.5744@example.com,Lahore,2025-05-24 05:23:43.713239,Silver,1,506727.02,87
2,Heather Crandall,56,Male,heather.crandall.3449@example.com,Karachi,2025-05-24 05:23:43.738778,Silver,1,98469.1,54
3,Ann Saad,39,Male,ann.saad.2909@example.com,Lahore,2025-05-24 05:23:43.753357,Bronze,1,871453.92,95
4,James Savitch,42,Male,james.savitch.9458@example.com,Karachi,2025-05-24 05:23:43.797580,Gold,1,252467.52,79
5,Marla Herbert,26,Male,marla.herbert.3546@example.com,Islamabad,2025-05-24 05:23:43.812136,Gold,1,152961.62,43
6,Dorothy Feinberg,53,Male,dorothy.feinberg.4294@example.com,Karachi,2025-05-24 05:23:43.847550,Silver,1,325262.74,87
7,Javier Dorsey,18,Female,javier.dorsey.7639@example.com,Quetta,2025-05-24 05:23:43.882301,Silver,1,545144.58,85
8,Mary Hearn,31,Male,mary.hearn.4456@example.com,Islamabad,2025-05-24 05:23:43.894663,Gold,1,141739.49,68
9,Edna Sanchez,50,Female,edna.sanchez.8190@example.com,Quetta,2025-05-24 05:23:43.905678,Bronze,1,254893.39,5
10,Gary Peterson,28,Female,gary.peterson.6858@example.com,Islamabad,2025-05-24 05:23:43.918646,Bronze,1,276792.27,89
11,Roxana Gallo,47,Male,roxana.gallo.7183@example.com,Islamabad,2025-05-24 05:23:43.931842,Bronze,1,374997.1,27
12,James Cox,44,Male,james.cox.8530@example.com,Quetta,2025-05-24 05:23:43.947462,Gold,1,954907.95,33
13,Ismael Cheatham,37,Male,ismael.cheatham.9745@example.com,Lahore,2025-05-24 05:23:43.966315,Silver,1,101120.14,94
14,Tiesha Robinson,25,Male,tiesha.robinson.9697@example.com,Lahore,2025-05-24 05:23:43.986760,Bronze,1,222425.03,7
15,Donald Bratcher,43,Male,donald.bratcher.9794@example.com,Quetta,2025-05-24 05:23:43.999840,Gold,1,342193.98,5
16,Kathleen Kisicki,34,Female,kathleen.kisicki.3395@example.com,Islamabad,2025-05-24 05:23:44.037515,Bronze,1,778555.32,34
17,Daniel Weaver,45,Male,daniel.weaver.4486@example.com,Peshawar,2025-05-24 05:23:44.049249,Bronze,1,75881.58,92
